Beneficial owner's Country ,Beneficial owner of the ship,Name of ship ,IMO  number,Last flag,Destination yard,Commercial operator ,Registered owner ,Built in (y),Sold for ($/ldt),Ldt (light displacement ton),Type of ship,Single hulled,Unnamed: 13
UK,Holbud Ship Management Limited ,Majestic,8307399,Panama,"Gadani, Pakistan",Holbud Ship Management Limited ,Sanibel Maritime Incorporated ,1985,unknown,7778,Bulker,Y,
Ukraine,Tech Project Limited,Phoenix,8911217,Dominica,"Gadani, Pakistan",Tech Project Limited,Serena Sea Navigation Company ,1990,420,unknown,Bulker,N,
USA,General Maritime Corporation,GenMar Alexandra,9007568,Marshall Islands,"Gadani, Pakistan",General Maritime Management (Portugal) LLC ,GMR Alexandra LLC ,1992,500,15145,Crude oil tanker,N,
USA,TBS International Plc ,Nyack Princess,8308953,Philippines,"Gadani, Pakistan",TBS Shipping Services Incorporated ,Darby Navigation Corporation ,1984,401,7143,Bulker,Y,
USA,Attransco Incorporated,Delaware Trader,8008929,USA,"Gadani, Pakistan",Attransco Incorporated,Attransco Incorporated,1982,430,11105,Product Tanker ,N,
Vietnam,Government of the Socialist Republic of Vietnam ,Asean Sea 01,8005537,Panama,"Gadani, Pakistan",Vinashin Petroleum Investment & Transport Joint Stock Company (Shinpetrol) ,Vinashin Petroleum Investment & Transport Joint Stock Company (Shinpetrol) ,1981,465,6370,Bulker,Y,
Vietnam,Government of the Socialist Republic of Vietnam,VSP Diamond,8300901,Panama,"Gadani, Pakistan",Vinashin Petroleum Investment & Transport Joint Stock Company (Shinpetrol) ,Vinashin Petroleum Investment & Transport Joint Stock Company (Shinpetrol) ,1984,383,unknown,Bulker,Y,
China,Oriental Ocean Shipping Holding Private Limited ,Welwater,8800391,Panama,"Gaogang, China ",Oriental Ocean Shipping Holding Private Limited ,Orient Hong Kong Investment Limited ,1992,355,24308,Bulker,N,
Hong Kong,Huatai International Shipping Limited,Lucky Rainbow,8106769,Panama,"Gaogang, China ",Huatai International Shipping Limited,Huatai International Shipping Limited,1985,unknown,13768,Bulk and oil carrier,N,
Hong Kong,Shunxing Shipping Hong Kong ,Shun Xing,8422955,Panama,"Gaogang, China ",Shunxing Shipping Hong Kong ,Shunxing Shipping Hong Kong ,1985,420,15820,Bulker,N,
Hong Kong,Well Step Transportation Limited ,Xin Hong,8021505,Panama,"Gaogang, China ",Well Step Transportation Limited ,Well Step Transportation Limited ,1982,unknown,7965,General cargo ship,N,
Latvia,Unimars Limited (Universal Marine Service) ,Taigeta,7904516,Dominica,"Ghent, Belgium",Unimars Limited (Universal Marine Service) ,Vesti Shipping Company Limited ,1980,unknown,1230,General cargo ship,Y,
UK,Torbulk Limited ,Swan Diana,8843848,Cook Islands,"Ghent, Belgium",Torbulk Limited ,Swanland Shipping Limited ,1982,unknown,unknown,General cargo ship,Y,
UK,Serco Denholm Limited ,SD Newton,7342940,UK,"Ghent, Belgium",Serco Denholm Limited ,Serco Denholm Marine Services Limited ,1986,unknown,unknown,Cable Ship,Y,
Croatia,Kurs D.O.O ,Rosethorn,8028307,St Vincent & Grenadines,"Grenaa, Denmark",Kurs D.O.O ,Brodo Trading Limited ,1982,unknown,unknown,General cargo ship,Y,
Denmark,Bjerrum & Jensen ApS ,Monsunen,6522593,Denmark,"Grenaa, Denmark",Bjerrum & Jensen ApS ,Rederiet Hersom APS ,1965,unknown,unknown,General cargo ship,Y,
Denmark,Rederiet Lindholm ApS,Anders Rousing,7826374,Denmark,"Grenaa, Denmark",Rederiet Lindholm ApS,Rederiet Lindholm ApS,1979,unknown,unknown,General cargo ship,Y,
Denmark,Stella Shipping A/S ,Vangsnes,8513326,St Kitts-Nevis,"Grenaa, Denmark",Stella Shipping A/S ,Vangsnes K/S ,1985,unknown,unknown,General cargo ship,N,
Germany,Hans-Uwe Meyer Bereederungs GmbH & Company KG ,Cranz,7702126,Antigua & Barbuda,"Grenaa, Denmark",Hans-Uwe Meyer Bereederungs GmbH & Company KG ,ms Cranz GmbH & Company KG ,1977,unknown,1182,General cargo ship,N,
Germany,Werse Bereederungs GmbH & Company KG ,Topas,8607672,Antigua & Barbuda,"Grenaa, Denmark",Werse Bereederungs GmbH & Company KG ,Adria Schiffahrts GmbH & Company KG ,1988,unknown,unknown,General cargo ship,Y,
Netherlands,Vroon B.V. ,VOS Challenger,7392983,UK,"Grenaa, Denmark",Vroon Offshore Services B.V. ,Vroon Offshore Services Limited ,1975,unknown,unknown,Tug/Supply vessel,Y,
Norway,Tevla A.S ,Tevla,6903486,Cook Islands,"Grenaa, Denmark",Tevla A.S ,Tevla A.S ,1968,unknown,unknown,General cargo ship,Y,
Norway,Odd Wagle ,Liv,7633466,Norway,"Grenaa, Denmark",Odd Wagle ,Liv AS ,1977,unknown,unknown,General cargo ship,Y,
Norway,Seatrans Group ,Baltic Guide,8017073,Norway,"Grenaa, Denmark",Seatrans DA ,Euro Trans Skips AS ,1982,unknown,unknown,General cargo ship,Y,
Norway,Seatrans Group ,Trans Holm,7931193,Norway,"Grenaa, Denmark",Seatrans DA ,Euro Trans Skips AS ,1981,unknown,unknown,Chemical Tanker,N,
Sweden,KA Rederi AB ,Debora,6501537,Norway,"Grenaa, Denmark",KA Rederi AB ,KA Rederi AB ,1965,unknown,unknown,General cargo ship,N,
Sweden,Edvin Svensons Skeppsmakleri AB,Ala,6812637,Panama,"Grenaa, Denmark",Edvin Svensons Skeppsmakleri AB,Timberlake Corporation ,1968,unknown,unknown,General cargo ship,Y,
Sweden,Chemveg AB ,Margita,7036591,Sweden,"Grenaa, Denmark",Chemveg AB ,Chemveg AB ,1971,unknown,unknown,Chemical Tanker,N,
USA,McDermott Incorporated ,Hebron Sea,7403471,Canada,"Grenaa, Denmark",J. Ray McDermott Canada Limited,J. Ray McDermott Canada Limited,1975,unknown,unknown,Anchor Handling Tug,Y,
USA,SEACOR Holdings Incorporated ,Putford Sky,6607393,UK,"Grenaa, Denmark",SEACOR Marine (International) Limited & Southern North Sea (SEACOR SNS) ,Boston Putford Offshore Safety Limited ,1967,unknown,unknown,Offshore safety vessel,Y,
China,CPM Corporation Limited ,Sino East,8513819,Panama,"Guangzhou, China",Vasteast International Private Limited ,Pheachian Shipping Company Limited ,1987,unknown,unknown,Containership,N,
Belgium,Trireme Vessel Management N.V. ,Arctic Ocean,8613009,Bahamas,"Guayaquil, Ecuador",Trireme Vessel Management N.V. ,Arctic Ocean Shipping Limited ,1989,unknown,unknown,Reefer,Y,
Belgium,Trireme Vessel Management N.V. ,Atlantic Ocean,8612990,Bahamas,"Guayaquil, Ecuador",Trireme Vessel Management N.V. ,Atlantic Ocean Shipping Limited ,1989,unknown,unknown,Reefer,Y,
Monaco,V Ships Group Limited,Apollo 16,8405983,Liberia,India,International Tanker Management Limited ,Marianna Shipping Limited ,1985,470,34000,Crude Oil Tanker,Y,
Indonesia,P.T. Pelayaran Tempuran Emas Tbk. ,Supitan Mas,8310853,Indonesia,"Jakarta, Indonesia",P.T. Pelayaran Tempuran Emas Tbk. ,P.T. Pelayaran Tempuran Emas Tbk. ,1984,unknown,unknown,General Cargo Ship,N,
China,Nanjing Hua Hai Shipping Company Limited ,Hua Jin Hong,8103690,Panama,"Jiangmen, China",Nanjing Hua Hai Shipping Company Limited ,HK Huajinhong Shipping Company Limited ,1982,310,10866,Bulker,N,
Japan,Mitsui O.S.K. Lines Limited (MOL) ,Forest Wave,8915251,Panama,"Jiangmen, China",Mitsui O.S.K. Lines Limited (MOL) ,Sunny Ace Shipping S.A. ,1991,unknown,9089,Wood chip carrier,Y,
Bermuda,Gearbulk Holding Limited ,Kestrel Arrow,8013857,Bahamas,"Jiangyin, China",Gearbulk Holding Limited ,Gearbulk Shipowning Limited ,1983,unknown,unknown,General cargo ship,N,
Chile,Naviera Ultragas Limitada (Ultragas Group) ,Tupungato,8312758,Chile,"Jiangyin, China",Ultrabulk S.A. ,Tupungato Shipping Incorporated ,1984,unknown,unknown,Bulker,Y,
China,China Ocean Shipping (Group) Company (COSCO) ,Man Hai,8220228,China,"Jiangyin, China",COSCO Bulk Carrier Company Limited ,COSCO Bulk Carrier Company Limited ,1984,unknown,8670,Bulker,Y,
China,Yingkou Gang Run Logistics Company Limited ,Gang Run 7,7419535,China,"Jiangyin, China",Yingkou Gang Run Logistics Company Limited ,Yingkou Gang Run Logistics Company Limited ,1977,unknown,unknown,General cargo ship,Y,
China,China Ocean Shipping (Group) Company (COSCO) ,Sea Brilliance,8307167,Panama,"Jiangyin, China",COSCO Bulk Carrier Company Limited ,Jingyinghai Shipping Incorporated ,1984,unknown,6620,Bulk ore carrier,Y,
China,China Ocean Shipping (Group) Company (COSCO) ,Sea Rainbow,8307179,Panama,"Jiangyin, China",COSCO Bulk Carrier Company Limited ,Caihonghai Shipping Incorporated ,1984,unknown,6604,Bulker,Y,
China,China Shipping (Group) Company ,Lian Fu Star,8021804,Panama,"Jiangyin, China",Jiuzhou Shipping Company Limited ,Uni-Bright Shipping International Shipping Limited ,1982,310,11197,Bulker,Y,
China,CPM Corporation Limited ,Sino South,8306670,Panama,"Jiangyin, China",Vasteast International Private Limited ,Sinosouth Shipping Company Limited ,1984,unknown,unknown,Bulker,N,
China,Fu Long Marine Shipping Company Limited ,Frio Spain,8303903,Panama,"Jiangyin, China",Fu Long Marine Shipping Company Limited ,Ocean Tradewinds Limited ,1983,unknown,unknown,Reefer,Y,
China,Guangzhou Kuifenghang Shipping Company Limited ,First Sino,8028577,Panama,"Jiangyin, China",Guangzhou Kuifenghang Shipping Company Limited ,Hong Kong (First Sino) Shipping Limited ,1983,unknown,unknown,General cargo ship,Y,
China,Langjiang Shipping Incorporated ,Lang Jiang,8213689,Panama,"Jiangyin, China",Langjiang Shipping Incorporated ,Langjiang Shipping Incorporated ,1983,unknown,2859,General cargo ship,Y,
China,Ningbo Shanglun Shipmanagement Company Limited ,Grand,8102256,Panama,"Jiangyin, China",Ningbo Shanglun Shipmanagement Company Limited ,Well Successful Shipping Company Limited ,1982,unknown,12118,Bulker,Y,
China,Sino Far East Ship Management Company Limited ,Luyang Hongkong,8010881,Panama,"Jiangyin, China",Sino Far East Ship Management Company Limited ,Sea Best Limited ,1981,375,11725,Bulker,Y,
Croatia,Losinjska Plovidba Brodarstvo d.o.o. ,Danica,8113372,St Vincent & Grenadines,"Jiangyin, China",Losinjska Plovidba Brodarstvo d.o.o. ,Tramontana Maritime Incorporated ,1983,unknown,unknown,Bulker,Y,
Cyprus,SMT Shipmanagement & Transport Limited ,Merchant,7516632,Bahamas,"Jiangyin, China",SMT Shipmanagement & Transport Limited ,Merchant Shipping Limited ,1977,439,13613,General cargo ship,Y,
Cyprus,SMT Shipmanagement & Transport Limited ,Musketeer,7516656,Bahamas,"Jiangyin, China",SMT Shipmanagement & Transport Limited ,Musketeer Shipping Limited ,1977,unknown,unknown,General cargo ship,Y,
Greece,Chartworld Shipping Corporation ,Centaurus,8713574,Bahamas,"Jiangyin, China",Chartworld Shipping Corporation ,Centaurus Shipping Corporation ,1989,412,5700,Reefer,Y,
Greece,Baltmed Reefer Services Limited ,Frio Poseidon,8811687,Belize,"Jiangyin, China",Baltmed Reefer Services Limited ,Springwave Shipping SA ,1989,348,7397,Fish carrier,N,
Greece,Lavinia Corporation Limited ,Frio Adriatic,8620129,Belize,"Jiangyin, China",Lavinia Corporation Limited ,Dream Faith S.A. ,1986,350,unknown,Reefer,N,
Greece,Atlantic Bulk Carriers Management Limited ,Desert Voyager,8106367,Greece,"Jiangyin, China",Atlantic Bulk Carriers Management Limited ,Desert Voyager Special Maritime Enterprise ,1982,440,8224,Bulker,N,
Greece,Harbor Shipping & Trading S.A. ,Sea Wave,8126642,Greece,"Jiangyin, China",Harbor Shipping & Trading S.A. ,Kampos Special Maritime Enterprise ,1984,470,9040,Bulker,Y,
Greece,Costamare Incorporated ,Gifted,8217879,Liberia,"Jiangyin, China",Ciel Shipmanagement S.A. ,Volk Shipping Company ,1984,unknown,14340,Containership,Y,
Greece,Technomar Shipping Incorporated ,LT Genova,8818166,Panama,"Jiangyin, China",Technomar Shipping Incorporated ,Genova Shipping S.A. ,1993,unknown,unknown,Containership,Y,
Hong Kong,Courage Marine Group Limited ,Raffles,8316273,Panama,"Jiangyin, China",Courage Marine (Holdings) Company Limited ,Raffles Marine Corporation ,1984,422,7320,Bulker,Y,
Hong Kong,Rongzheng Group Limited ,Zhongxin,7924877,Panama,"Jiangyin, China",Rongzheng Group Limited ,Rongzheng Group Limited ,1981,310,11040,Bulker,Y,
Hong Kong,Sinokor Company Limited ,Trade Fortune,8511134,Panama,"Jiangyin, China",Kookyang Shipping Company Limited ,Trade Fortune Shipping S.A. ,1985,290,1669,General cargo ship,Y,
Hong Kong,Sinokor Company Limited ,Eastern Carrier,8624010,South Korea,"Jiangyin, China",Kookyang Shipping Company Limited ,Kookyang Shipping Company Limited ,1985,438,6776,General cargo ship,N,
Hong Kong,Sinokor Company Limited ,Fortune Carrier,8102402,South Korea,"Jiangyin, China",Chokang Shipping Company Limited ,Chokang Shipping Company Limited ,1982,435,12118,Bulker,Y,
Hong Kong,Sinokor Company Limited ,Sinokor Star,8717790,South Korea,"Jiangyin, China",Sinokor Merchant Marine Company Limited ,Sinokor Merchant Marine Company Limited ,1988,365,2055,Containership,Y,
Japan,Tsuneishi Holdings Corporation - Kambara Kisen Company Limited ,Joshu Maru,7727762,Hong Kong,"Jiangyin, China",Astro Shipmanagement Incorporated ,Kambara Kisen (Hong Kong) Limited ,1978,330,3012,General cargo ship,Y,
Japan,Nippon Yusen Kaisha (NYK) ,ACX Lily,8914271,Liberia,"Jiangyin, China",Tokyo Senpaku Kaisha Limited (TSK) ,Astarte Carriers Limited & Pegasus Shipholding S.A. ,1990,unknown,unknown,Containership,Y,
Japan,Kawasaki Kisen Kaisha Limited ('K' Line) ,Cooper River Bridge,8617598,Panama,"Jiangyin, China",K Line Ship Management Company Limited ,Akashi Bridge Shipping S.A. ,1987,unknown,unknown,Containership,Y,
Japan,Kawasaki Kisen Kaisha Limited ('K' Line) ,Manhattan Bridge,8604292,Panama,"Jiangyin, China",K Line Ship Management Company Limited ,Vola Shipping Company Limited ,1987,unknown,unknown,Containership,Y,
Japan,Mitsubishi Group of Companies ,Shagang Sunrise,9164457,Panama,"Jiangyin, China",Mitsubishi Logistics Corporation ,Artemis Shipholding S.A. ,1997,355,24896,Bulker,Y,
Japan,Mitsui Warehouse Company Limited ,Chi Hao,7322550,Panama,"Jiangyin, China",Mitsui Warehouse Company Limited ,Chi Hao Corporation ,1973,unknown,unknown,Reefer,Y,
Japan,Nippon Yusen Kaisha (NYK) ,Ocean Castle,8912584,Panama,"Jiangyin, China",Nippon Yusen Kaisha (NYK) ,Nippon Yusen Kaisha (NYK) ,1990,432,21017,Bulker,Y,
Japan,Nippon Yusen Kaisha (NYK) ,Orion Reefer,8911097,Panama,"Jiangyin, China",Nippon Yusen Kaisha (NYK) ,NYK Reefers Limited ,1989,unknown,unknown,Reefer,Y,
Japan,Nippon Yusen Kaisha (NYK) ,Taharoa Express,8903117,Panama,"Jiangyin, China",Hachiuma Steamship Company Limited ,Arafura Shipping Incorporated ,1990,unknown,18348,Bulker,Y,
Japan,Shinwa Group of Companies ,Iris Frontier,8602490,Panama,"Jiangyin, China",NS United Marine Corporation ,Tiger Heart Shipping S.A. ,1987,440,20784,Bulker,Y,
Russia,Regal Company Limited ,Ladoga 9,7347495,Cambodia,"Jiangyin, China",Regal Company Limited ,JS Maritime Company Limited ,1974,unknown,953,General cargo ship,Y,
Russia,Murmansk Shipping Company Joint-Stock Company,Kapitan Vodenko,8225498,Cyprus,"Jiangyin, China",Bonmar S.A. ,NB Two Shipping Limited ,1982,unknown,8088,Bulker,N,
Russia,Far-Eastern Shipping Company (FESCO) ,Cheremkhovo,8306541,Russia,"Jiangyin, China",Far-Eastern Shipping Company (FESCO) ,Far-Eastern Shipping Company (FESCO) ,1984,unknown,8097,Bulker,Y,
Russia,Murmansk Shipping Company Joint-Stock Company,Ivan Susanin,8131879,Russia,"Jiangyin, China",Murmansk Shipping Company Joint-Stock Company,Murmansk Shipping Company Joint-Stock Company,1981,unknown,8365,Bulker,N,
Russia,Norfes Company Limited ,Bay,7384297,Russia,"Jiangyin, China",Norfes Company Limited ,Samos Breeze Shipping Company Limited ,1975,unknown,2554,General cargo ship,Y,
Russia,Norfes-Marine Service Company Limited ,Alexa M.,8308771,St Vincent & Grenadines,"Jiangyin, China",Norfes-Marine Service Company Limited ,Ice-Breaker System Company Limited ,1984,354,8926,Bulker,Y,
South Korea,Naru Shipping & Management Company Limited ,X-Press Tower,8709717,Panama,"Jiangyin, China",Naru Shipping & Management Company Limited ,Naru Shipping S.A.,1988,490,4830,Containership,N,
South Korea,STX Pan Ocean Company Limited ,Ocean Noble,8323434,Panama,"Jiangyin, China",STX Pan Ocean Company Limited ,Global Pacific Shipping Navigation S.A. ,1985,376,6966,Bulker,Y,
South Korea,Dong-A Tanker Corporation Limited ,Dong-A Hermes,8900426,South Korea,"Jiangyin, China",Dong-A Tanker Corporation Limited ,Dong-A Tanker Corporation Limited ,1992,447,22290,Bulker,Y,
South Korea,Saehan Marine (Service) Company Limited ,No7 Saehan,8414427,South Korea,"Jiangyin, China",Saehan Marine (Service) Company Limited ,Saehan Marine (Gas) Company Limited ,1984,unknown,unknown,Chemical tanker,Y,
South Korea,STX Pan Ocean Company Limited ,Ocean Korea,8113516,South Korea,"Jiangyin, China",STX Pan Ocean Company Limited ,STX Pan Ocean Company Limited ,1984,382,12278,Bulker,Y,
South Korea,World Chun Commerce Marine Company Limited ,Ever New,8514813,South Korea,"Jiangyin, China",World Chun Commerce Marine Company Limited ,World Chun Commerce Marine Company Limited ,1985,unknown,2251,General cargo ship,Y,
Sweden,Walleniusrederierna AB ,Traviata,7616250,Sweden,"Jiangyin, China",Walleniusrederierna AB ,Manjoma Bravo AB ,1977,unknown,unknown,Vehicle Carrier,Y,
Taiwan,Fancy State Corporation Limited ,Dabang,7053484,Panama,"Jiangyin, China",Fancy State Corporation Limited ,Fancy State Corporation Limited ,1971,unknown,unknown,Bulker,Y,
Taiwan,Jui Zong Ship Management Company Limited,Jui Tai No.3,7700283,Panama,"Jiangyin, China",Jui Zong Ship Management Company Limited,Neuwa Maritime Company Limited,1977,unknown,4944,Bulker,Y,
Taiwan,Ming Tai Shipping Corporation ,Ocean Peace,8213691,Panama,"Jiangyin, China",Ming Tai Shipping Corporation ,Ocean Flower Navigation S.A. ,1982,unknown,unknown,Bulker,Y,
UK,John Swire & Sons Limited,Hangchow,8201612,Hong Kong,"Jiangyin, China",The China Navigation Company Private Limited ,The China Navigation Company Private Limited ,1984,410,13770,General cargo ship,Y,
UK,John Swire & Sons Limited,Pacific Flores,8126587,Hong Kong,"Jiangyin, China",The China Navigation Company Private Limited ,The China Navigation Company Private Limited ,1984,410,13677,General cargo ship,Y,
UK,John Swire & Sons Limited,Pacific Java,8126575,Hong Kong,"Jiangyin, China",The China Navigation Company Private Limited ,The China Navigation Company Private Limited ,1984,410,13500,General cargo ship,Y,
USA,Liberty Maritime Corporation ,Liberty Star,8510647,Marshall Islands,"Jiangyin, China",Liberty Maritime Corporation ,Liberty Star Shipping Corporation ,1986,390,10942,Bulker,Y,
USA,Skaarup Group ,Georgia S.,8009521,Panama,"Jiangyin, China",Skaarup Management (Hong Kong) Limited ,Sunskar Limited ,1981,350,8546,Bulker,N,
USA,TBS International Plc ,Aztec Maiden,8408753,Philippines,"Jiangyin, China",TBS Shipping Services Incorporated ,Filscan Shipping Incorporated ,1984,350,5500,Bulker,Y,
USA,TBS International Plc ,Shawnee Princess,8214619,Philippines,"Jiangyin, China",TBS Shipping Services Incorporated ,Intermodal Shipping Incorporated ,1984,435,5655,General cargo ship,Y,
Bermuda,Gearbulk Holding Limited ,Finch Arrow,8207329,Bahamas,"Jiangyin, China ",Gearbulk Holding Limited ,Gearbulk Shipowning Limited ,1984,425,11796,General cargo ship,N,
Bermuda,Gearbulk Holding Limited ,Gannet Arrow,8324361,Bahamas,"Jiangyin, China ",Gearbulk Holding Limited ,Gearbulk Shipowning Limited ,1985,425,11519,General cargo ship,N,
Bermuda,Gearbulk Holding Limited ,Tsuru,7374230,Bahamas,"Jiangyin, China ",Gearbulk Holding Limited ,Tsuru Limited ,1974,unknown,unknown,Bulker,N,
Russia,Azia Shipping Holdings Limited ,Uchur,7612034,Russia,"Jiangyin, China ",Azia Shipping Holdings Limited ,Gayle Enterprises Limited ,1977,unknown,3159,General cargo ship,N,
UK,John Swire & Sons Limited,Pacific Celebes,8126599,Hong Kong,"Jiangyin, China ",The China Navigation Company Private Limited ,The China Navigation Company Private Limited ,1984,410,13677,General cargo ship,Y,
China,Guangdong Sun Font Shipping Company ,De Sheng,7611559,China,"Jingjiang, China",Guangdong Sun Font Shipping Company ,Guangdong Sun Font Shipping Company ,1978,unknown,unknown,General cargo ship,Y,
South Korea,Cho Yang Company Limited,Choyang Greenpia,7818004,South Korea,"Jingjiang, China",Cho Yang Company Limited,Cho Yang Company Limited,1978,unknown,unknown,Waste ship,N,
Unknown,Unknown,Yang Gak Do 3,8305872,North Korea,"Jingjiang, China",Unknown,Unknown,1983,unknown,unknown,General cargo ship,Y,
China,China Shipping (Group) Company ,Chang Jian,8333465,China,"Ma'anshan, China ",China Shipping Development Company Limited Tramp Company ,China Shipping Development Company Limited Tramp Company ,1981,306,5400,Bulker,Y,
China,China Shipping (Group) Company ,Hong Qi 202,8226909,China,"Ma'anshan, China ",China Shipping International Intermodal Company Limited ,China Shipping International Intermodal Company Limited ,1980,407,4547,General cargo ship,Y,
China,Guangzhou Shipping (Group) ,Hong Qi 203,8226894,China,"Ma'anshan, China ",Guangzhou Shipping (Group) ,Guangzhou Shipping (Group) ,1980,407,4567,Bulker,Y,
Unknown,Unknown,Ocean Integrity,6930374,Philippines,"Manila, Philippines",Unknown,Unknown,1969,unknown,unknown,General cargo ship,N,
Brazil,Companhia de Navegacao Norsul S.A.,Norsul Tubarao,8128640,Panama,"Mumbai, India",Companhia de Navegacao Norsul S.A.,Companhia de Navegacao Norsul S.A.,1985,458,unknown,Bulker,N,
Cambodia,S & S Maritime Company Limited,Captain Mustafa,7610787,Togo,"Mumbai, India",S & S Maritime Company Limited,S & S Maritime Company Limited,1976,unknown,unknown,General cargo ship,Y,
China,Fujian Yongjia Shipping Company Limited ,Lucky W,8005886,Panama,"Mumbai, India",Fujian Yongjia Shipping Company Limited ,Ever Win Marine Limited ,1981,unknown,5091,Bulker,Y,
China,Shanghai Haizheng Ship Management Company Limited ,Hong Bo 8,7921801,Panama,"Mumbai, India",Shanghai Haizheng Ship Management Company Limited ,Bafeng Limited ,1981,unknown,6348,Bulker,Y,
China,Nanjing King Ship Management Company Limited,King Feast,7722126,St Vincent & Grenadines,"Mumbai, India",Nanjing King Ship Management Company Limited,King Honor Shipping Company Limited ,1979,473,9441,General cargo ship,Y,
China,Dalian Yifeng Shipping Company Limited ,Lady Itidal,7724681,Togo,"Mumbai, India",Dalian Yifeng Shipping Company Limited ,Smart City Shipping ,1978,unknown,unknown,General cargo ship,Y,
Cyprus,Schoeller Holdings Limited,Preston,8122579,Comoros,"Mumbai, India",Columbia Shipmanagement Limited ,Cypress Cape Preston LLC ,1983,432,9400,General Cargo ship,Y,
Cyprus,Sadent Shipping Limited,Kholmsk,7725738,Dominica,"Mumbai, India",Sadent Shipping Limited,Grand Maritime Services Limited ,1980,425,5100,Bulker,Y,
Cyprus,Bulcom Limited,Advent,7900261,Panama,"Mumbai, India",Bulcom Limited,JMP Maritime Limited ,1980,unknown,7879,Bulker,Y,
Denmark,Dania Marine ApS ,Philip,8908519,Malta,"Mumbai, India",Dania Marine ApS ,mv Philip K/S ,1990,unknown,5099,Containership,Y,
Egypt,El Amira Maritime Agencies Company,Mallak,7389857,Panama,"Mumbai, India",El Amira Maritime Agencies Company,Canary Sparrow S.A. ,1981,500,5596,General cargo ship,Y,
Germany,Dr. Peters GmbH & Company KG ,Cape Norman,9121429,Liberia,"Mumbai, India",DS-Schiffahrt GmbH & Company KG ,DS-Rendite-Fonds Nr.47 ms Cape Norman GmbH & Company Containerschiff KG ,1998,unknown,unknown,Containership,Y,
Germany,Norddeutsche Vermogen Holding GmbH & Company,Troyburg,8708531,Liberia,"Mumbai, India",H. Schuldt OHG (GmbH & Company),Schiffahrtsgesellschaft ms Troyburg mbH & Company KG ,1988,495,7540,Containership,N,
Germany,Reederei Eugen Friederich Bereederungs-und Befrachtungs-GmbH,Mercs Matale,8507303,Sri Lanka,"Mumbai, India",Reederei Eugen Friederich Bereederungs-und Befrachtungs-GmbH,Benita Reederei Eugen Friedrich GmbH Schifffahrtsges & Company KG ,1990,390,6939,General Cargo ship,N,
Greece,Dry Plus Maritime Corporation ,DP Genoa,8901937,Cyprus,"Mumbai, India",Dry Plus Maritime Corporation ,Salerio Shipmanagement Company ,1992,425,5247,Containership,Y,
Greece,Lavinia Corporation Limited ,Seattle Reefer,8208969,Liberia,"Mumbai, India",Lavinia Corporation Limited ,Sunpride Finance Company ,1983,unknown,5077,Reefer,Y,
Greece,Multibulk Marine Management S.A.,Theraps,9007518,Liberia,"Mumbai, India",Multibulk Marine Management S.A.,Theraps Investment Services Company ,1992,513,6851,Containership,Y,
Greece,Roswell Navigation Corporation,Kasuga Bay,8213615,Panama,"Mumbai, India",Roswell Navigation Corporation,Kasuga Bay Incorporated ,1984,unknown,5509,Reefer,N,
Greece,Roswell Navigation Corporation,Nagoya Bay,8217611,Panama,"Mumbai, India",Roswell Navigation Corporation,Nagoya Bay Incorporated ,1983,460,6140,Reefer,Y,
Greece,Roswell Navigation Corporation,Yasaka Bay,8213586,Panama,"Mumbai, India",Roswell Navigation Corporation,Yasaka Bay Incorporated ,1983,489,5503,Reefer,N,
Greece,Welland Shipmanagement S.A. ,Mustafa-H,8013716,Panama,"Mumbai, India",Welland Shipmanagement S.A. ,Radial Shipping ,1980,unknown,2354,General cargo ship,Y,
Greece,Gerassimos P. Kavadas,Sea Resolve,8126812,St Vincent & Grenadines,"Mumbai, India",Silo Management S.A. ,Champion Nav. Incorporated ,1983,426,4397,General Cargo ship,N,
Hong Kong,Auspicious Shipping Limited,Ocean Crown,7930058,Panama,"Mumbai, India",Auspicious Shipping Limited,Oceanlucky Shipping Limited ,1980,unknown,unknown,Bulker,Y,
Hong Kong,Kingbest Shipping Limited ,Kulsamut,7716206,Thailand,"Mumbai, India",Kingbest Shipping Limited ,Kingbest Shipping Limited ,1978,unknown,4637,Bulker,Y,
India,The Shipping Corporation of India Limited,C.V. Raman,8017798,India,"Mumbai, India",The Shipping Corporation of India Limited,The Shipping Corporation of India Limited,1981,416,9359,Tanker,Y,
India,V.M. Salgaocar & Brothers Private Limited,Swatirani,5356686,India,"Mumbai, India",V.M. Salgaocar & Brothers Private Limited,V.M. Salgaocar & Brothers Private Limited,1962,403,7498,Bulk Ore Carrier ,Y,
India,VNS Off-Shore Service Company ,Kansi Namrata,6923228,India,"Mumbai, India",VNS Off-Shore Service Company ,VNS Off-Shore Service Company ,1969,unknown,585,Tug/Supply vessel ,Y,
Italy,BM Shipping Group S.p.A.,BM Adventure,7431246,Panama,"Mumbai, India",BM Shipping Group S.p.A.,BM Shipping Group S.p.A.,1980,462,6478,General Cargo ship,Y,
Italy,BM Shipping Group S.p.A.,BM Freedom,7912977,Panama,"Mumbai, India",BM Shipping Group S.p.A.,BM Shipping Group S.p.A.,1980,462,9030,General Cargo ship,Y,
Italy,BM Shipping Group S.p.A.,BM Pride,8116063,Panama,"Mumbai, India",BM Shipping Group S.p.A.,BM Shipping Group S.p.A.,1983,462,7174,Bulker,Y,
